Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000395,16,9,15,715,2,1,1,1,6,287
201600000396,16,9,23,345,3,1,1,1,6,648
201600000397,16,10,29,115,3,1,1,1,6,721
201600000398,16,12,25,100,3,1,1,2,6,639
201600000399,16,5,21,1645,1,1,2,1,3,770
201600000400,16,10,12,930,1,1,1,5,2,770
201600000401,16,11,4,1515,1,1,1,1,1,131
201600000402,16,11,7,1600,1,1,1,1,5,131
201600000403,16,11,19,600,3,2,1,1,6,71
201600000404,16,2,22,915,1,2,4,1,2,758
201600000405,16,4,10,1000,1,1,1,1,7,537
201600000406,16,5,5,1700,1,1,2,1,3,439
201600000407,16,7,24,2245,3,1,1,1,3,195
201600000408,16,8,16,1945,2,1,1,7,1,730
201600000409,16,10,23,2030,3,1,1,3,1,714
201600000410,16,11,24,1230,1,1,3,1,2,797
201600000411,16,4,18,815,1,2,1,1,6,810
201600000412,16,5,1,1445,1,2,1,1,3,307
201600000413,16,6,24,1200,1,1,1,1,6,512
201600000414,16,5,27,2345,3,1,1,1,6,321
201600000415,16,8,26,930,1,1,1,1,5,354
201600000416,16,9,20,1930,2,1,1,2,1,826
201600000417,16,12,16,230,3,1,1,1,3,444
201600000418,16,3,27,1630,1,1,1,2,7,295
201600000419,16,5,15,245,3,1,1,1,7,67
201600000420,16,8,24,2315,3,1,1,1,2,548
201600000421,16,10,3,1115,1,2,2,1,6,141
201600000422,16,10,15,2300,3,1,1,1,6,419
201600000423,16,6,16,1915,1,1,1,3,7,313
201600000424,16,7,24,15,3,2,3,1,6,830
201600000425,16,10,29,1700,1,2,3,1,3,298
201600000426,16,5,3,1100,1,1,1,1,2,833
201600000427,16,6,4,1945,1,2,3,1,3,391
201600000428,16,7,29,1530,1,1,2,1,1,833
201600000429,16,8,4,1630,1,2,1,1,6,381
201600000430,16,10,18,1415,1,2,9,1,6,381
201600000431,16,12,2,1215,1,1,1,5,3,470
201600000432,16,12,3,500,5,2,3,1,6,381
201600000433,16,2,2,1600,1,1,1,1,3,251
201600000434,16,2,26,2315,3,1,1,1,7,41
201600000435,16,4,21,1845,1,1,1,1,7,9
201600000436,16,5,3,1830,1,1,1,1,7,251
201600000437,16,6,9,1230,1,1,1,1,2,428
201600000438,16,6,9,1615,1,2,1,1,2,628
201600000439,16,6,10,2330,3,1,1,1,1,9
201600000440,16,8,9,745,1,1,1,1,1,668
201600000441,16,8,11,400,3,1,1,1,6,703
201600000442,16,8,19,2215,5,2,6,1,7,41
201600000443,16,8,18,2315,3,1,1,1,2,628
201600000444,16,8,28,1645,1,1,6,1,7,9
201600000445,16,9,23,815,2,2,1,5,3,703
201600000446,16,10,2,1245,1,1,1,1,6,9
201600000447,16,11,26,530,3,1,1,2,2,480
201600000448,16,12,23,1745,3,1,1,2,5,63
201600000449,16,3,19,2115,1,1,1,1,2,211
201600000450,16,4,1,2200,3,1,1,1,1,97
201600000451,16,5,28,1400,1,1,1,2,3,690
201600000452,16,5,30,900,1,1,1,2,1,645
201600000453,16,7,21,1700,1,1,1,1,6,143
201600000454,16,9,10,1900,1,1,1,1,5,363
201600000455,16,9,18,1830,1,1,1,1,1,644
201600000456,16,3,8,1115,1,2,1,1,6,286
201600000457,16,12,27,2015,3,1,1,1,6,194
201600000458,16,1,14,800,2,2,1,2,6,462
201600000459,16,5,19,1815,1,1,1,1,3,504
201600000460,16,6,6,930,1,1,1,1,1,462
201600000461,16,7,30,1915,1,2,1,1,3,65
201600000462,16,8,26,1115,1,1,1,1,1,135
201600000463,16,10,2,1900,2,2,1,1,7,700
